               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.046209,             0.11512,                   0,             0.83311,              0.6797,             0.78147,              0.4955,            0.044226,             0.10476,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.046239,             0.11542,                   0,             0.83379,             0.67936,             0.78148,             0.49558,            0.044216,             0.10475,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.046165,             0.11467,                   0,             0.83358,             0.67977,             0.78151,             0.49572,            0.044207,             0.10474,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.046189,             0.11564,                   0,             0.83372,             0.67988,             0.78152,             0.49589,            0.044198,             0.10474,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.046089,             0.11461,                   0,             0.83336,             0.67993,             0.78155,             0.49599,            0.044188,             0.10474,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.045846,             0.11426,                   0,              0.8333,             0.68006,             0.78165,             0.49614,             0.04418,             0.10473,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.045939,             0.11473,                   0,             0.83318,             0.68033,             0.78185,             0.49625,            0.044173,             0.10473,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.045747,             0.11357,                   0,              0.8335,              0.6806,             0.78194,              0.4964,            0.044166,             0.10474,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.045575,             0.11301,                   0,             0.83385,             0.68033,             0.78202,             0.49654,            0.044159,             0.10474,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.045541,             0.11334,                   0,             0.83432,             0.68005,             0.78216,             0.49655,            0.044152,             0.10475,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.045811,             0.11354,                   0,             0.83478,             0.67994,             0.78219,             0.49664,            0.044147,             0.10476,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.045504,             0.11255,                   0,             0.83468,             0.68039,             0.78224,             0.49673,             0.04414,             0.10476,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.045371,             0.11225,                   0,             0.83442,             0.68047,             0.78232,              0.4969,            0.044134,             0.10477,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.045489,              0.1131,                   0,             0.83407,             0.68053,             0.78237,             0.49702,            0.044127,             0.10478,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.045288,             0.11152,                   0,             0.83393,             0.68075,             0.78245,              0.4971,            0.044122,             0.10478,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.045278,             0.11234,                   0,             0.83372,             0.68087,             0.78241,             0.49715,            0.044117,              0.1048,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.045153,             0.11111,                   0,             0.83435,             0.68058,             0.78242,              0.4972,            0.044113,             0.10481,                   0,            0.000298,            0.000298,            0.000298
